coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,SourceFile,price_ma7,price_ma30,volatility_7d,volume_change_pct,price_change_pct,liquidity_ratio,liquidity_ratio_7d
Ravencoin,RVN,1.2512759818154346e-06,0.8848560700876096,0.525756336876533,0.0950445218737901,0.0002426192198587,0.0006110810446447,2022-03-17,coin_gecko_2022-03-17.csv,0.0010903466894312428,0.050862933303411594,0.0027952773289531634,44.29912406218465,52.607475341663445,0.39703280274348185,0.5508019783284137
IOST,IOST,5.532057670001148e-07,0.8811013767209012,0.5363859362224038,0.102787456445993,0.0006333080104217,0.0005934875796614,2022-03-17,coin_gecko_2022-03-17.csv,0.0010761113307123287,0.05076981117413014,0.0028014072162162295,1.6102961290145723,-0.5578866892358255,1.0670956429838323,0.42189084505325775
Bitcoin Gold,BTG,0.0007259093093384,0.8811013767209012,0.5339329517579721,0.1010452961672473,0.0001066168688515,0.0005903338177784,2022-03-17,coin_gecko_2022-03-17.csv,0.00011853768673801419,0.050791703292005316,0.0002686588987208238,-0.8316508443016422,1311.1868075866414,0.18060437271361257,0.4431806906111221
Kava,KAVA,7.787997600316847e-05,0.8823529411764707,0.5388389206868356,0.1062717770034843,0.0002641028250082,0.000581871379232,2022-03-17,coin_gecko_2022-03-17.csv,0.00012113715189285974,0.05075156639469666,0.00026808194725667066,1.4771204393185884,-0.8927139037875834,0.45388523036961165,0.43217066532688225
Rally,RLY,4.76152347101123e-06,0.8998748435544431,0.6017988552739165,0.1078203639179248,0.0001214008760521,0.0005729671135625,2022-03-17,coin_gecko_2022-03-17.csv,0.00011835141599692504,0.050751662712682596,0.00026935468847341974,-0.540327234105388,-0.9388607480975917,0.21188105421491601,0.43921758680325407
e-Radix,EXRD,3.1091578485427247e-06,0.8923654568210263,0.5690923957481602,0.1231126596980255,3.8604698261380586e-05,0.0005699491653602,2022-03-17,coin_gecko_2022-03-17.csv,0.00011621254140798273,0.05075176304162318,0.00027034124842768517,-0.6820064276569708,-0.3470245673529325,0.06773358153263187,0.340988735150454
UMA,UMA,0.0001865722790111,0.8773466833541927,0.5233033524121014,0.0991095625241966,0.0010788896929749,0.0005645298215454,2022-03-17,coin_gecko_2022-03-17.csv,0.0001428623896315926,0.05075156894822496,0.00026614075387032136,26.94710855321465,59.007335780184725,1.9111296725148024,0.6127660510104127
OEC Token,OKT,0.000799907417413,0.8823529411764707,0.5478331970564185,0.0919473480449089,6.04941204912348e-05,0.0005633096336971,2022-03-17,coin_gecko_2022-03-17.csv,0.00025695612412176183,0.03511310801506053,0.0003524954383860197,-0.9439292812924832,3.287386216499022,0.10739053066463868,0.571388583570578
Songbird,SGB,1.5454195392611471e-06,0.8848560700876096,0.5396565821749794,0.0853658536585365,1.971068627795895e-05,0.0005537399849859,2022-03-17,coin_gecko_2022-03-17.csv,0.00025709786894637056,0.035112350806553755,0.0003523753290955154,-0.6741718679782294,-0.9980680019892062,0.03559556256075828,0.42403142922442444
WOO Network,WOO,1.2424209524697256e-05,0.886107634543179,0.5609157808667211,0.1114982578397212,0.0008595906547185,0.0005456256700738,2022-03-17,coin_gecko_2022-03-17.csv,0.00015517142611584154,0.03503579074002502,0.0002922237356509551,42.610386903662445,7.039376498783737,1.5754219456028047,0.6232910824943091
Moonbeam,GLMR,5.847063618032167e-05,0.8760951188986233,0.5396565821749794,0.0925280681378242,0.0007728663312219,0.0005413881860751,2022-03-17,coin_gecko_2022-03-17.csv,0.0001523986632840063,0.035037697465840914,0.00029316989587506497,-0.10089025866038592,3.70618561801391,1.427564086362775,0.7623880619219039
Velas,VLX,5.174869624213532e-06,0.8836045056320401,0.5290269828291086,0.0985288424312814,5.8955119065662325e-05,0.0005408233620892,2022-03-17,coin_gecko_2022-03-17.csv,0.00015245771273446378,0.03503785607422831,0.0002931352426906776,-0.9237188674366829,-0.9114962661214359,0.10900993410846523,0.7476921876209823
Tether Gold,XAUT,0.0475089689345894,0.8823529411764707,0.5314799672935404,0.1035617499032132,4.610892251361372e-05,0.0005377147863828,2022-03-17,coin_gecko_2022-03-17.csv,0.006939009109411728,0.036621264470757295,0.01789195098696466,-0.21789789853093033,9179.708381964258,0.08574977605467725,0.7502659296955602
Horizen,ZEN,0.0009568804532303,0.8823529411764707,0.5453802125919869,0.097560975609756,0.0004433256012593,0.0005338240420186,2022-03-17,coin_gecko_2022-03-17.csv,0.007049053134300186,0.03664833241258524,0.017845807878501582,8.61474649789111,-0.9798589513793124,0.8304714032416195,0.5958861769422484
Sapphire,SAPP,1.382350161755062e-05,0.8873591989987485,0.5380212591986917,0.0993031358885017,4.1755265231691845e-06,0.0005321459667216,2022-03-17,coin_gecko_2022-03-17.csv,0.0069367554320436935,0.03664619719677239,0.017894093585102768,-0.9905813548522614,-0.9855535750877925,0.007846581171879242,0.5816656127289971
Rocket Pool,RPL,0.0007038311852899,0.8848560700876096,0.5004088307440718,0.1136275648470769,3.0499299959089543e-05,0.0005205144456461,2022-03-17,coin_gecko_2022-03-17.csv,0.00703708197000807,0.03509586000397265,0.01785064546098724,6.304300377414647,49.915549819613034,0.05859453126460615,0.5849511796866896
Golem,GLM,1.131938137863126e-05,0.8823529411764707,0.5306623058053965,0.0909794812233836,0.000208613781841,0.0005161608396812,2022-03-17,coin_gecko_2022-03-17.csv,0.007036924137415774,0.03509503232017246,0.017850717928460068,5.839953117639605,-0.9839174767824916,0.4041642949314938,0.41762865816221656
Liquity USD,LUSD,2.4504291490339764e-05,0.8823529411764707,0.5298446443172525,0.108207510646535,6.539078315490096e-05,0.0005148624687295,2022-03-17,coin_gecko_2022-03-17.csv,0.007032071802460063,0.0020557909212786923,0.017852935507357587,-0.6865461975818064,1.1648083645806824,0.12700631163942183,0.23183469034459472
Audius,AUDIO,1.803520705073448e-05,0.8823529411764707,0.5363859362224038,0.0991095625241966,0.0001135004834689,0.0005051155095386,2022-03-17,coin_gecko_2022-03-17.csv,0.007033908993520995,0.0020365217832046135,0.017852092513247864,0.7357260150873919,-0.2639980201898744,0.22470203611957495,0.24836213348903896
STEPN,GMT,1.846752583361361e-05,0.8973717146433041,0.8757154538021259,1.0,0.0234492438788464,0.0005031893774025,2022-03-17,coin_gecko_2022-03-17.csv,0.00024955164941302583,0.0019613519826169774,0.0004034543251656062,205.60038761219613,0.023970824491395204,46.601229938304925,6.8934307280962175
Baby Doge Coin,BABYDOGE,3.265621425193973e-14,0.886107634543179,0.5183973834832378,0.0942702284165698,0.0001696797833262,0.0004950071511398,2022-03-17,coin_gecko_2022-03-17.csv,0.00011285444181336241,0.001959475746436391,0.0002607078371181987,-0.9927639550254638,-0.9999999982316952,0.34278248897111185,6.82376088320043
